time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-12-31T18:08:50.790Z,-4.051,141.89,111.6,4.4,mb,,,,1.26,us,usp0009kjd,2014-11-07T01:09:12.926Z,"104 km W of Ambunti, Papua New Guinea",earthquake,,9.3,,5,reviewed,us,us
1999-12-31T06:50:54.840Z,-7.198,129.585,139.4,4.2,mb,,,,1.38,us,usp0009khu,2014-11-07T01:09:12.839Z,"Kepulauan Babar, Indonesia",earthquake,,17.8,,4,reviewed,us,us
1999-12-30T22:31:17.400Z,1.851,127.085,91.3,5,mwc,,,,0.98,us,usp0009khg,2016-11-10T00:19:59.182Z,"103 km W of Tobelo, Indonesia",earthquake,,6.6,,,reviewed,us,hrv
1999-12-30T21:46:39.800Z,2.345,126.727,42,4.6,mb,,,,1.02,us,usp0009khe,2014-11-07T01:09:12.792Z,"158 km WNW of Tobelo, Indonesia",earthquake,,15.1,,5,reviewed,us,us
1999-12-30T21:29:10.620Z,0.023,123.549,196.4,4.1,mb,,,,1.24,us,usp0009khc,2014-11-07T01:09:12.789Z,"78 km SE of Gorontalo, Indonesia",earthquake,,34.7,,2,reviewed,us,us
1999-12-30T17:57:14.740Z,-1.855,138.324,33,5.4,mwc,,,,1.31,us,usp0009kh4,2022-04-29T17:49:37.046Z,"260 km ESE of Biak, Indonesia",earthquake,,,,,reviewed,us,hrv
1999-12-30T17:39:21.310Z,-9.244,119.057,75.2,4.5,mb,,,,1.02,us,usp0009kh2,2014-11-07T01:09:12.746Z,"86 km SSW of Komodo, Indonesia",earthquake,,18,,3,reviewed,us,us
1999-12-30T15:17:25.340Z,-3.784,131.24,33,4.7,mb,,,,1.23,us,usp0009kgv,2014-11-07T01:09:12.731Z,"Ceram Sea, Indonesia",earthquake,,,,8,reviewed,us,us
1999-12-30T11:24:16.800Z,-6.855,129.51,156.8,4.8,mb,,,,0.89,us,usp0009kgg,2014-11-07T01:09:12.579Z,"Banda Sea",earthquake,,28.9,,2,reviewed,us,us
1999-12-29T15:17:21.870Z,-0.446,99.634,79.7,5.3,mb,,,,1.11,us,usp0009ker,2014-11-07T01:09:12.296Z,"57 km WNW of Pariaman, Indonesia",earthquake,,18.9,,24,reviewed,us,us
1999-12-29T08:40:49.110Z,-9.086,111.566,33,3.6,mb,,,,1.44,us,usp0009ke4,2014-11-07T01:09:12.208Z,"112 km S of Trenggalek, Indonesia",earthquake,,,,2,reviewed,us,us
1999-12-29T02:54:06.210Z,-6.364,130.349,124.7,4.5,mb,,,,1.46,us,usp0009kdu,2014-11-07T01:09:12.155Z,"278 km WSW of Tual, Indonesia",earthquake,,16.7,,2,reviewed,us,us
1999-12-28T20:33:41.150Z,-6.02,130.744,81.8,4.8,mb,,,,1.11,us,usp0009kdh,2014-11-07T01:09:12.114Z,"226 km W of Tual, Indonesia",earthquake,,16.9,,5,reviewed,us,us
1999-12-28T16:51:24.500Z,1.674,128.288,65.5,5.7,mwc,,,,1.02,us,usp0009kdb,2022-04-29T18:22:16.825Z,"31 km E of Tobelo, Indonesia",earthquake,,,,,reviewed,us,hrv
1999-12-28T10:27:30.500Z,5.66,127.277,67.9,4.4,mb,,,,1.34,us,usp0009kd2,2014-11-07T01:09:12.014Z,"144 km ESE of Pondaguitan, Philippines",earthquake,,16.2,,4,reviewed,us,us
1999-12-27T21:31:45.900Z,-1.053,120.682,33,4.4,mb,,,,1.47,us,usp0009kcf,2014-11-07T01:09:11.949Z,"38 km NNW of Poso, Indonesia",earthquake,,,,3,reviewed,us,us
1999-12-27T20:05:35.790Z,-5.06,130.861,33,4.6,mb,,,,0.91,us,usp0009kcb,2014-11-07T01:09:11.933Z,"218 km WNW of Tual, Indonesia",earthquake,,,,3,reviewed,us,us
1999-12-27T00:14:30.010Z,-1.012,127.353,33,4.4,mb,,,,1.21,us,usp0009kbh,2014-11-07T01:09:11.830Z,"194 km S of Sofifi, Indonesia",earthquake,,,,1,reviewed,us,us
1999-12-26T23:16:40.070Z,-6.949,129.184,33,4.3,mb,,,,1.31,us,usp0009kbf,2014-11-07T01:09:11.827Z,"297 km NE of Lospalos, Timor Leste",earthquake,,,,1,reviewed,us,us
1999-12-26T13:42:20.460Z,6.484,125.101,10,4.3,mb,,,,1.16,us,usp0009kay,2014-11-07T01:09:11.774Z,"2 km ESE of Tampakan, Philippines",earthquake,,,,2,reviewed,us,us
